● あいじょう[愛情] 	[명사]애정;사랑
● あいず[合図] 		[명사]신호
● アイデア 		[명사]아이디어, 이상, 생각;착상
● あいにく[生憎] 	[부사]공교로운 모양;공교롭게;마침
● あいまい[曖昧] 	[형용동사]모호;애매, 불미로움;좋지 못함
● あお[青] 		[명사]파란색;파랑, ‘青毛’의 준말, 푸른
● あおぐ[扇ぐ·煽ぐ] 	[동사]부채질하다;부치다
● あか[赤] 		[명사]빨강
● あかじ[赤字] 		[명사]적자;결손
● あかり[明(か)り] 	[명사]환한 빛;밝은 빛, 결백한 증거
● あき[明き·空き] 	[명사]속이 빔, 빈 곳;빈터, 빈자리;결원
● あきれる[呆れる·惘れる] 	[동사]놀라다;어이없다;기가 막히다
● アクセント 		[명사]악센트, 강조;중점
● あくま[悪魔] 		[명사]악마
● あくまで[飽く迄] 	[부사]어디까지나;철저하게;끝까지
● あくる[明くる] 	[형용동사]다음의;이듬…
● あけがた[明けがた·明け方] 	[명사]새벽녘;동틀녘
● あせる[焦る] 		[동사]안달하다;초조하게 굴다
● あたり[辺り] 		[명사]그 곳;근처, …같은 곳;…어디
● あたる[当(た)る] 	[동사]맞다, 갈다;빻다, 오는;다가오는
● あちこち[彼方此方] 	[명사]여기저기;이곳 저곳, 엇갈리는 모양
● あつかましい[あつかましい·厚かましい] 	[형용사]뻔뻔스럽다;철면피하다
● あっしゅく[圧縮] 	[명사]압축
● あっち[彼方] 		[대명사]저기;저쪽;저리
● あてな[あて名] 	[명사]수신인명
● あてはまる[あてはまる·当てはまる] 	[동사]꼭 들어맞다;적합하다
● あてはめる[あてはめる·当てはめる] 	[동사]꼭 들어맞추다;적용시키다
● あてる[当てる] 	[동사]맞히다, 명중시키다, 한몫 보다
● あと[跡] 	[명사]유적, 자취;흔적, 자국;자리
● あな[穴] 	[명사]구멍, 뚫린 공간, 구덩이
● あばれる[暴れる] 	[동사]난폭하게 굴다;날뛰다;전하여
● あぶら[脂] 		[명사]기름;굳기름, 기름기
● あぶる[炙る·焙る·燔る] 	[동사]쬐어 굽다;말리다;덥게 하다
● あまやかす[甘やかす] 	[동사]어하다;응석 부리게 하다
● あまる[余る] 	[동사]남다, 어떤 수량을 넘다;이상이 되다
● あみもの[編(み)物] 	[명사]편물;뜨개질;또, 뜨개질한 것
● あむ[編む] 		[동사]엮다;겯다, 편찬하다, 짜다
● あやうい[危うい] 	[형용사]危うきこと累卵の如し 누란의 위기
● あやまち[過ち] 	[명사]잘못, 실수, 과오;오류
● あやまり[誤り] 	[명사]잘못;틀림;실수
● あら 	[감동사]어머
● あらい[荒い] 		[형용사]거칠다, 거칠고 사납다
● あらい[粗い] 		[형용사]거칠다, 꺼칠꺼칠하다, 성기다
● あらし[嵐] 	[명사]광풍;폭풍, 폭풍우
● あらすじ[粗筋·荒筋] 	[명사]대충의 줄거리;개략;개요
● あらそう[争う] 	[동사]다투다, 싸우다, 경쟁하다
● あらた[新た] 		[형용동사]새로움;또, 새로 시작함;생생함
● あらためて[改めて] 	[부사]새롭게 다시 하는 모양
