会う, あう 만나다
青い, あおい 파랗다. 푸르다
赤い, あかい 붉다. 빨갛다
上がる, あがる 오르다
明るい, あかるい 밝다. 환하다. 명랑하다
秋, あき 가을
開く, あく 열리다
開ける, あける 열다
上げる, あげる 올리다
あげる, 주다
朝, あさ 아침
朝御飯, あさごはん 아침 밥
あさって, 모레
足, あし 발
明日, あした 내일
あそこ, 저기. 저쪽
遊ぶ, あそぶ 놀다
頭, あたま 머리
新しい, あたらしい 새롭다
あちら, 저쪽
暑い, あつい 덥다
後, あと 뒤. 뒤쪽. 나중
あなた, 당신
兄, あに (나의) 형. 오빠
姉, あね (나의) 누나. 언니
あの, 저
浴びる, あびる 뒤집어쓰다. (샤워를) 하다
危ない, あぶない 위험하다
甘い, あまい 달다. 달콤하다
あまり, 그다지. 별로 (+부정문)
余り, あまり 남은 것. 나머지
雨, あめ 비
洗う, あらう 씻다
ありがとうございます, 감사합니다
ある, 있다
歩く, あるく 걷다
あれ, 저것
あんな, 저런
良い, いい 좋다
いいえ, 아니
言う, いう 말하다
家, いえ 집
行く, いく 가다
幾つ, いくつ 몇. 몇 개. 몇 살
いくら, 얼마. 어느 정도. 얼마나
医者, いしゃ 의사
椅子, いす 의자
忙しい, いそがしい 바쁘다
痛い, いたい 아프다
一, いち 1
一月, いちがつ 1월
一時, いちじ 일시. 한때. 한동안
一日, いちにち 하루
一年, いちねん 1년
一番, いちばん 1번. 첫째. 가장. 제일
いつ, 언제
五日, いつか 5일
一回, いっかい 1회. 한 번
一個, いっこ 1개
一週間, いっしゅうかん 일주일
いっしょに, 함께. 같이
五つ, いつつ 다섯
一杯, いっぱい ①1잔 ②가득
一分, いっぷん 1분
一本, いっぽん 1자루. 1병
いつも, 언제나. 늘
犬, いぬ 개
今, いま 지금
意味, いみ 의미. 뜻
妹, いもうと 여동생
嫌な, いやな 싫은
いらっしゃいませ, 어서 오십시오
入(り)口, いりぐち 입구
要る, いる 필요하다
いる, 있다
入れる, いれる 넣다
色, いろ 색. 빛
色々, いろいろ 여러 가지. 가지각색
上, うえ 위
後ろ, うしろ 뒤. 뒤쪽
歌, うた 노래
歌う, うたう 노래 부르다
生(ま)れる·産(ま)れる, うまれる 태어나다. 출생하다
海, うみ 바다
売る, うる 팔다
うるさい, 시끄럽다
上着, うわぎ 겉옷. 윗도리. 내복 위에 입는 옷
絵, え 그림
映画館, えいがかん 영화관. 극장
英語, えいご 영어
駅, えき 역
円, えん 동그라미. 둥근 것. 엔(일본화페단위)
鉛筆, えんぴつ 연필
おいしい, 맛있다
多い, おおい 많다
大きい, おおきい 크다
大きな, おおきな 큰
お母さん, おかあさん 어머니
お菓子, おかし 과자
お金, おかね 돈
お客さん, おきゃくさん 손님
起きる, おきる 일어나다
置く, おく 두다. 놓다
奥さん, おくさん 부인. 아주머니
お酒, おさけ 술
お皿, おさら 접시
おじいさん, 할아버지
教える, おしえる 가르치다
おじさん, 아저씨. 백부·숙부의 높임말
押す, おす 밀다. 누르다
遅い, おそい 늦다. 느리다. 더디다
お茶, おちゃ 차
お父さん, おとうさん 아버지
弟, おとうと 남동생
男, おとこ 남자. 사나이
男の子, おとこのこ 남자 아이. 젊은 남자
男の人, おとこのひと 남자
おととい, 그저께
おととし, 재작년
大人, おとな 어른. 성인
お腹, おなか 배
同じ, おなじ 같은. 동일한
お兄さん, おにいさん 형. 오빠
お姉さん, おねえさん 누나. 언니
おばあさん, 할머니
おばさん, 아주머니. 부인네를 높이여 정답게 부르는 말. 백모·숙모·고모·이모 등높임말
おはようございます, 안녕하세요 <아침 인사>
お風呂, おふろ 목욕. 욕실
お弁当, おべんとう 도시락
覚える, おぼえる 외우다. 기억하다
おまわりさん, 경찰관
重い, おもい 무겁다
おもしろい, 재미있다
泳ぐ, およぐ 헤엄치다. 수영하다
降りる, おりる (차에서) 내리다
終わる, おわる 끝나다. 마치다
音楽, おんがく 음악
女, おんな 여자
女の子, おんなのこ 여자 아이. 젊은 여자. 아가씨
女の人, おんなのひと 여자
外国, がいこく 외국
会社, かいしゃ 회사
会社員, かいしゃいん 회사원
階段, かいだん 계단
買(い)物, かいもの 쇼핑. 장보기. 물건을 삼
買う, かう 사다. 구입하다
返す, かえす 돌려주다
帰る, かえる 돌아가다. 돌아오다
顔, かお 얼굴
かかる, (시간이) 걸리다. (돈이) 들다
鍵, かぎ 열쇠
書く, かく 쓰다. 적다
学生, がくせい 학생
傘, かさ 우산
貸す, かす 빌려주다
風, かぜ 바람
風邪, かぜ 감기
家族, かぞく 가족
学校, がっこう 학교
角, かど 모난 귀퉁이. 구석. 길모퉁이
鞄, かばん 가방
花瓶, かびん 꽃병
かぶる, (모자를) 쓰다
紙, かみ 종이
火曜日, かようび 화요일
辛い, からい 맵다
体, からだ 몸
借りる, かりる 빌리다. 꾸다
軽い, かるい 가볍다
川·河, かわ 하천. 강. 내
かわいい, 귀엽다
漢字, かんじ 한자
木, き 나무
黄色い, きいろい 노랗다
消える, きえる 꺼지다. 사라지다. 없어지다
聞く, きく ①듣다
北, きた 북. 북쪽
汚い, きたない 더럽다
喫茶店, きっさてん 찻집. 다방. 커피숍
切手, きって 우표
切符, きっぷ 표. 티켓
昨日, きのう 어제
九, きゅう 9
牛肉, ぎゅうにく 쇠고기
牛乳, ぎゅうにゅう 우유
九人, きゅうにん 9명
九年, きゅうねん 9년
九分, きゅうふん 9분
今日, きょう 오늘
教室, きょうしつ 교실
兄弟, きょうだい 형제
去年, きょねん 작년
嫌いな, きらいな 싫어하는. 마음에 들지 않는
きれいな, 예쁜. 깨끗한
銀行, ぎんこう 은행
金曜日, きんようび 금요일
九月, くがつ 9월
九時, くじ 9시
薬, くすり 약
果物, くだもの 과일
口, くち 입
靴, くつ 신. 신발. 구두
靴下, くつした 양말
国, くに 나라. 국가
