あう [会う], 만나다
あおい [青い], 파랗다. 푸르다
あかい [赤い], 붉다. 빨갛다
あがる [上がる], 오르다
あかるい [明るい], 밝다. 환하다. 명랑하다
あき [秋], 가을
あく [開く], 열리다
あける [開ける], 열다
あげる [上げる], 올리다
あげる, 주다
あさ [朝], 아침
あさごはん [朝御飯], 아침 밥
あさって, 모레
あし [足], 발
あした [明日], 내일
あそこ, 저기. 저쪽
あそぶ [遊ぶ], 놀다
あたま [頭], 머리
あたらしい [新しい], 새롭다
あちら, 저쪽
あつい [暑い], 덥다
あと [後], 뒤. 뒤쪽. 나중
あなた, 당신
あに [兄], (나의) 형. 오빠
あね [姉], (나의) 누나. 언니
あの, 저
あびる [浴びる], 뒤집어쓰다. (샤워를) 하다
あぶない [危ない], 위험하다
あまい [甘い], 달다. 달콤하다
あまり, 그다지. 별로 (+부정문)
あまり [余り], 남은 것. 나머지
あめ [雨], 비
あらう [洗う], 씻다
ありがとうございます, 감사합니다
ある, 있다
あるく [歩く], 걷다
あれ, 저것
あんな, 저런
いい [良い], 좋다
いいえ, 아니
いう [言う], 말하다
いえ [家], 집
いく [行く], 가다
いくつ [幾つ], 몇. 몇 개. 몇 살
いくら, 얼마. 어느 정도. 얼마나
いしゃ [医者], 의사
いす [椅子], 의자
いそがしい [忙しい], 바쁘다
いたい [痛い], 아프다
いち [一], 1
いちがつ [一月], 1월
いちじ [一時], 일시. 한때. 한동안
いちにち [一日], 하루
いちねん [一年], 1년
いちばん [一番], 1번. 첫째. 가장. 제일
いつ, 언제
いつか [五日], 5일
いっかい [一回], 1회. 한 번
いっこ [一個], 1개
いっしゅうかん [一週間], 일주일
いっしょに, 함께. 같이
いつつ [五つ], 다섯
いっぱい [一杯], ①1잔 ②가득
いっぷん [一分], 1분
いっぽん [一本], 1자루. 1병
いつも, 언제나. 늘
いぬ [犬], 개
いま [今], 지금
いみ [意味], 의미. 뜻
いもうと [妹], 여동생
いやな [嫌な], 싫은
いらっしゃいませ, 어서 오십시오
いりぐち [入(り)口], 입구
いる [要る], 필요하다
いる, 있다
いれる [入れる], 넣다
いろ [色], 색. 빛
いろいろ [色々], 여러 가지. 가지각색
うえ [上], 위
うしろ [後ろ], 뒤. 뒤쪽
うた [歌], 노래
うたう [歌う], 노래 부르다
うまれる [生(ま)れる·産(ま)れる], 태어나다. 출생하다
うみ [海], 바다
うる [売る], 팔다
うるさい, 시끄럽다
うわぎ [上着], 겉옷. 윗도리. 내복 위에 입는 옷
え [絵], 그림
えいがかん [映画館], 영화관. 극장
えいご [英語], 영어
えき [駅], 역
えん [円], 동그라미. 둥근 것. 엔(일본화페단위)
えんぴつ [鉛筆], 연필
おいしい, 맛있다
おおい [多い], 많다
おおきい [大きい], 크다
おおきな [大きな], 큰
おかあさん [お母さん], 어머니
おかし [お菓子], 과자
おかね [お金], 돈
おきゃくさん [お客さん], 손님
おきる [起きる], 일어나다
おく [置く], 두다. 놓다
おくさん [奥さん], 부인. 아주머니
おさけ [お酒], 술
おさら [お皿], 접시
おじいさん, 할아버지
おしえる [教える], 가르치다
おじさん, 아저씨. 백부·숙부의 높임말
おす [押す], 밀다. 누르다
おそい [遅い], 늦다. 느리다. 더디다
おちゃ [お茶], 차
おとうさん [お父さん], 아버지
おとうと [弟], 남동생
おとこ [男], 남자. 사나이
おとこのこ [男の子], 남자 아이. 젊은 남자
おとこのひと [男の人], 남자
おととい, 그저께
おととし, 재작년
おとな [大人], 어른. 성인
おなか [お腹], 배
おなじ [同じ], 같은. 동일한
おにいさん [お兄さん], 형. 오빠
おねえさん [お姉さん], 누나. 언니
おばあさん, 할머니
おばさん, 아주머니. 부인네를 높이여 정답게 부르는 말. 백모·숙모·고모·이모 등높임말
おはようございます, 안녕하세요 <아침 인사>
おふろ [お風呂], 목욕. 욕실
おべんとう [お弁当], 도시락
おぼえる [覚える], 외우다. 기억하다
おまわりさん, 경찰관
おもい [重い], 무겁다
おもしろい, 재미있다
およぐ [泳ぐ], 헤엄치다. 수영하다
おりる [降りる], (차에서) 내리다
おわる [終わる], 끝나다. 마치다
おんがく [音楽], 음악
おんな [女], 여자
おんなのこ [女の子], 여자 아이. 젊은 여자. 아가씨
おんなのひと [女の人], 여자
がいこく [外国], 외국
かいしゃ [会社], 회사
かいしゃいん [会社員], 회사원
かいだん [階段], 계단
かいもの [買(い)物], 쇼핑. 장보기. 물건을 삼
かう [買う], 사다. 구입하다
かえす [返す], 돌려주다
かえる [帰る], 돌아가다. 돌아오다
かお [顔], 얼굴
かかる, (시간이) 걸리다. (돈이) 들다
かぎ [鍵], 열쇠
かく [書く], 쓰다. 적다
がくせい [学生], 학생
かさ [傘], 우산
かす [貸す], 빌려주다
かぜ [風], 바람
かぜ [風邪], 감기
かぞく [家族], 가족
がっこう [学校], 학교
かど [角], 모난 귀퉁이. 구석. 길모퉁이
かばん [鞄], 가방
かびん [花瓶], 꽃병
かぶる, (모자를) 쓰다
かみ [紙], 종이
かようび [火曜日], 화요일
からい [辛い], 맵다
からだ [体], 몸
かりる [借りる], 빌리다. 꾸다
かるい [軽い], 가볍다
かわ [川·河], 하천. 강. 내
かわいい, 귀엽다
かんじ [漢字], 한자
き [木], 나무
きいろい [黄色い], 노랗다
きえる [消える], 꺼지다. 사라지다. 없어지다
きく [聞く], ①듣다, ②물어보다
きた [北], 북. 북쪽
きたない [汚い], 더럽다
きっさてん [喫茶店], 찻집. 다방. 커피숍
きって [切手], 우표
きっぷ [切符], 표. 티켓
きのう [昨日], 어제
きゅう [九], 9
ぎゅうにく [牛肉], 쇠고기
ぎゅうにゅう [牛乳], 우유
きゅうにん [九人], 9명
きゅうねん [九年], 9년
きゅうふん [九分], 9분
きょう [今日], 오늘
きょうしつ [教室], 교실
きょうだい [兄弟], 형제
きょねん [去年], 작년
きらいな [嫌いな], 싫어하는. 마음에 들지 않는
